9	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
9	1	2-1-1-2-2-1-1-1-1-1-1-2	1-1-1-1-2-1-2-0-2-0-1-2	2-1-2-0-1-1-1-1-2-2-1-1	1-2-1-1-1-0-1-1-1-2-1-1	2-1-0-1-1-1-1-2-1-2-1-1	1-1-2-2-1-1-1-2-0-1-2-1	0-0-1-0-2-0-1-0-1-2-3-1	0-0-2-0-5-2-0-1-2-2-0-0	0-2-2-1-3-2-2-0-0-1-0-0	2-2-0-0-2-0-0-0-2-0-0-0	1-3-1-0-1-0-2-0-2-0-2-0	3-3-1-1-1-1-0-1-2-3-1-1
9	2	3-1-1-1-1-1-2-2-2-1-2-1	1-1-2-3-3-3-1-3-3-2-2-3	3-2-1-3-3-2-2-3-3-1-3-3	3-3-3-3-2-2-2-3-3-3-3-3	1-3-2-2-2-3-3-3-3-3-3-3	2-3-3-3-2-2-3-1-3-3-1-3	0-3-3-3-3-3-3-2-3-3-1-3	3-0-3-1-4-1-3-2-3-3-3-3	3-1-1-3-3-1-1-0-2-2-3-3	3-1-1-3-1-3-0-0-3-2-0-3	3-1-2-4-1-3-1-2-1-3-3-0	1-2-3-4-1-1-3-3-1-1-3-3
9	3	2-2-2-2-2-2-2-5-1-2-3-2	1-2-2-2-2-2-1-2-2-2-2-2	2-3-2-2-2-2-2-2-2-2-2-2	2-2-2-2-3-2-3-2-2-2-2-2	1-2-2-3-2-2-2-2-2-2-2-2	2-2-2-2-5-2-2-2-3-2-2-2	3-2-2-2-2-2-2-0-2-2-1-2	2-0-2-0-3-1-2-2-2-2-2-2	2-3-3-2-1-1-1-3-3-0-2-2	2-0-5-2-3-2-0-3-2-2-3-2	2-1-1-0-1-2-2-0-0-3-2-0	1-1-2-2-1-1-2-2-3-1-2-3
9	4	5-5-5-5-5-5-5-4-4-5-5-5	5-5-4-5-5-5-1-5-5-5-5-5	5-4-5-5-5-4-5-4-5-5-4-5	4-4-4-4-3-5-4-4-4-4-4-4	4-2-4-4-4-4-4-5-4-4-4-4	4-4-4-2-5-4-4-4-4-4-5-2	5-5-5-4-5-5-4-5-5-4-5-4	2-4-2-4-2-4-5-4-4-5-2-4	5-5-4-5-5-5-5-3-5-4-2-2	4-5-5-1-4-5-0-5-5-5-0-5	5-5-5-4-0-2-5-4-5-5-5-5	4-5-5-2-4-5-5-4-5-5-4-4
9	5	5-4-4-4-4-4-4-4-4-4-4-4	4-4-5-4-4-4-1-4-4-4-4-4	4-4-4-4-4-5-4-4-4-4-5-4	5-4-4-4-5-4-5-5-5-4-5-4	4-4-4-5-4-4-4-4-4-5-5-4	1-5-5-5-4-5-4-4-0-4-4-5	4-4-4-2-4-4-4-5-4-4-4-4	2-4-2-4-2-4-4-2-4-4-4-0	4-4-2-4-4-4-4-4-4-4-2-4	4-4-4-2-0-4-0-4-4-4-0-4	4-4-5-4-2-2-4-4-4-4-5-5	4-4-4-2-5-4-4-5-4-4-5-4
10	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
10	1	0-2-2-3-0-0-1-1-1-0-1-3	1-3-2-2-2-1-0-0-0-0-1-0	2-2-2-0-2-2-0-1-0-2-0-2	1-2-2-3-2-0-1-0-2-1-1-2	0-2-0-1-2-2-1-0-2-2-1-2	1-2-1-2-0-1-1-2-0-1-2-2	0-3-2-0-2-2-1-2-2-2-0-0	0-0-0-0-0-3-0-0-2-0-2-2	0-0-0-0-1-0-0-2-2-0-2-0	0-0-0-0-1-0-0-2-0-0-0-2	0-3-0-0-0-0-1-0-0-2-0-0	1-0-2-0-1-0-2-1-1-2-0-2
10	2	1-1-1-1-1-0-3-3-3-0-3-1	1-1-1-1-3-3-0-3-3-0-3-3	1-2-1-3-1-1-3-2-3-1-2-3	2-1-1-1-1-2-2-1-1-2-2-1	0-1-2-2-1-1-2-2-1-1-2-3	2-1-1-1-3-2-2-2-2-1-1-1	2-0-1-2-1-1-2-1-1-1-0-2	2-2-0-2-0-0-0-3-1-0-1-1	0-2-0-0-0-0-0-1-1-0-1-2	0-3-0-2-0-2-0-1-0-0-0-1	3-0-0-0-0-2-0-0-0-1-2-0	1-0-3-0-2-0-1-0-1-1-2-1
10	3	3-2-1-1-1-3-2-2-3-1-2-1	1-1-3-3-2-2-1-2-2-0-2-2	1-3-3-2-3-3-2-3-2-1-3-3	3-1-3-1-3-3-3-3-2-2-3-3	0-3-0-3-1-1-3-0-3-3-3-2	2-3-3-3-2-3-2-3-0-1-1-3	0-1-0-1-2-3-2-3-1-2-3-2	2-2-0-0-2-1-0-2-0-0-0-0	3-2-0-2-0-3-0-0-2-0-3-2	3-2-2-3-0-3-0-1-3-0-0-0	2-3-3-0-0-0-3-3-0-2-3-0	0-3-2-3-3-3-3-3-0-0-3-1
11	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
11	1	0-0-2-0-1-0-1-1-1-0-1-0	2-1-1-1-1-1-0-2-2-1-1-1	1-1-1-2-2-1-1-1-2-0-2-2	1-1-1-1-1-2-1-2-1-2-1-2	0-4-2-1-1-1-1-2-0-1-1-0	1-1-1-0-1-1-1-2-0-4-2-1	4-0-2-0-1-2-1-3-0-2-0-1	2-2-0-0-3-2-0-4-2-0-0-2	0-3-0-0-0-0-0-0-2-3-3-4	0-2-3-3-2-3-3-3-0-0-0-0	1-0-4-0-0-2-3-3-0-0-3-0	1-0-3-0-1-4-2-0-0-0-3-1
11	2	3-3-1-4-4-4-3-2-2-4-2-4	3-1-3-4-3-3-1-3-2-4-2-2	3-3-3-3-1-3-2-2-3-3-3-3	2-2-3-2-3-1-2-3-3-1-2-3	3-3-1-2-2-3-2-2-3-3-2-3	2-2-3-3-3-2-2-1-1-2-3-2	1-3-3-3-3-3-2-2-3-3-1-2	1-1-4-0-4-1-3-2-3-1-3-3	0-1-0-2-3-4-4-3-1-1-3-3	2-1-1-1-3-1-1-3-0-1-0-4	3-3-0-1-2-1-1-1-3-3-1-0	4-4-1-2-1-4-3-2-4-2-2-3
11	3	2-2-2-2-2-2-4-4-4-2-4-2	2-2-2-2-2-2-0-4-4-4-4-2	2-2-2-4-4-2-4-3-2-2-2-2	3-2-2-2-2-1-2-2-2-1-4-2	2-2-3-3-2-2-1-3-2-2-1-2	3-2-2-2-2-3-3-3-3-1-2-2	1-2-2-3-2-2-3-1-2-2-1-3	3-3-0-3-1-2-2-2-2-0-2-2	4-1-3-4-2-4-1-2-3-1-1-2	3-0-1-1-2-1-1-1-0-0-0-3	2-2-3-0-2-3-1-1-3-2-1-0	2-0-1-0-3-3-2-2-3-1-1-2
11	4	4-3-2-2-2-4-3-3-3-2-3-2	2-2-4-2-3-2-0-3-3-3-3-2	3-4-2-3-4-4-3-4-2-2-4-4	4-2-2-1-4-4-4-4-3-1-4-2	2-1-1-4-2-2-1-1-4-4-4-3	1-4-4-4-3-4-3-2-0-1-1-4	1-2-2-1-1-1-3-4-1-3-4-3	1-1-2-0-2-2-2-1-2-3-2-0	3-1-0-3-2-2-2-0-3-1-1-1	2-1-1-1-1-1-0-1-4-3-0-2	2-2-1-1-4-1-4-1-0-3-1-0	2-2-1-2-4-1-4-4-2-2-4-2
12	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
12	1	0-2-2-0-0-0-1-1-1-0-1-0	2-1-1-3-2-1-2-0-2-1-1-1	1-2-0-0-2-1-1-2-4-2-1-2	1-1-0-1-1-2-1-2-1-2-1-1	0-1-2-1-4-1-1-2-3-1-1-1	1-1-1-0-0-1-0-2-0-1-0-1	0-2-2-0-0-2-0-3-1-0-0-2	2-0-0-0-0-2-3-1-2-0-0-0	0-0-0-3-1-0-0-2-0-0-3-0	3-0-0-3-0-3-0-0-0-0-0-0	1-0-0-0-0-3-3-0-2-0-0-0	4-0-3-0-0-3-3-0-1-0-3-3
12	2	3-3-1-4-4-4-3-2-2-4-2-4	3-3-3-2-3-2-1-3-1-3-2-2	3-2-3-3-3-2-2-3-3-3-2-3	2-2-2-2-2-1-2-3-3-2-2-3	3-3-1-2-2-3-2-4-1-2-2-3	2-2-2-3-3-2-2-1-3-2-3-2	3-3-3-4-3-3-2-2-3-3-0-1	1-2-0-0-0-1-1-2-3-0-3-3	4-0-3-0-2-0-0-3-3-0-0-3	2-0-0-3-3-0-0-3-0-0-0-3	3-3-0-0-0-1-0-0-1-3-2-0	3-2-1-0-2-0-3-2-3-3-1-4
12	3	2-2-2-2-2-0-4-4-4-2-4-2	2-2-2-2-2-2-0-4-4-2-4-2	2-2-2-4-2-2-4-2-2-2-2-2	3-2-2-2-2-3-2-2-4-2-2-2	2-2-3-3-2-2-2-3-1-2-3-2	3-3-2-2-2-3-3-3-2-2-2-2	2-2-2-3-2-2-3-2-2-2-4-3	3-3-2-3-4-3-1-4-2-0-2-2	4-3-2-1-2-4-1-2-2-0-1-2	3-4-4-1-2-1-1-2-2-0-0-3	2-2-3-1-1-1-1-0-3-4-0-0	2-2-1-0-3-3-1-0-2-2-1-1
12	4	4-3-2-2-2-4-3-3-4-2-3-2	1-2-4-4-3-2-0-3-3-2-3-3	4-2-4-3-4-4-3-4-1-1-4-2	4-2-4-4-4-4-4-4-3-2-4-4	2-4-2-4-1-1-4-2-4-4-4-3	3-4-4-4-3-4-3-4-0-4-1-4	0-2-1-2-3-2-3-4-4-3-4-1	3-1-1-0-3-1-1-3-4-3-0-0	3-3-0-3-3-3-1-0-4-0-1-2	1-3-3-4-0-1-0-4-3-0-0-2	2-4-4-0-0-0-4-0-0-3-2-0	2-4-1-4-4-1-4-4-1-2-4-2
13	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
13	1	1-1-0-4-1-1-1-1-1-1-1-1	1-1-2-1-2-1-2-0-2-0-1-0	2-1-1-2-2-1-1-1-1-2-2-2	1-1-1-2-1-0-1-2-2-2-2-2	2-2-0-1-1-2-1-0-2-2-1-2	1-1-1-2-0-1-1-2-1-1-0-0	0-0-5-0-0-0-1-1-0-2-2-1	0-0-2-0-0-2-0-0-0-2-0-0	0-0-2-1-0-2-2-0-0-1-0-0	0-0-2-0-0-0-0-0-0-0-0-0	2-2-1-0-1-2-0-0-2-0-0-0	5-0-1-1-1-1-0-2-2-1-1-1
13	2	1-1-0-1-1-1-1-3-3-1-3-1	1-1-3-1-1-1-1-1-3-1-3-2	1-2-1-1-3-3-1-1-1-1-1-1	2-1-1-1-3-0-3-1-1-1-1-1	1-1-2-1-2-1-2-0-1-1-2-1	0-1-2-1-1-0-1-3-0-0-0-2	0-0-0-0-0-3-0-0-0-1-1-1	2-0-1-1-0-1-1-0-0-1-0-0	1-0-1-0-1-1-1-3-3-0-1-0	1-1-1-2-1-0-0-0-0-1-0-0	1-1-1-1-0-3-2-0-1-0-1-0	1-1-2-1-1-1-1-1-1-1-1-1
13	3	4-4-5-5-5-5-3-3-3-5-3-5	4-4-4-4-4-3-3-4-4-4-3-3	4-3-4-4-4-4-4-3-4-4-4-4	3-4-4-4-4-5-4-4-4-3-3-4	3-4-5-3-3-4-4-5-4-3-4-4	3-3-4-4-4-3-3-2-4-3-4-4	4-4-4-4-4-4-3-4-4-4-1-3	4-3-4-5-5-5-4-3-4-5-4-4	5-3-4-3-4-1-5-4-4-3-4-5	3-4-5-5-4-4-4-4-4-3-0-4	4-3-3-5-4-2-4-0-4-4-4-0	3-5-4-5-5-5-4-3-3-3-5-4
13	4	3-3-3-3-3-3-5-5-3-3-5-3	3-3-3-3-3-3-3-5-5-3-5-3	3-3-3-3-3-3-5-4-3-3-3-3	4-3-3-3-3-5-3-3-3-3-3-3	3-3-4-4-3-3-3-4-3-4-4-3	4-3-3-3-3-4-4-4-4-3-3-3	3-3-3-3-3-3-5-3-3-3-5-4	3-4-3-4-3-3-3-5-3-5-3-4	3-4-3-5-3-1-4-3-3-0-3-3	4-5-5-3-3-3-3-3-3-0-0-3	3-1-3-1-3-2-3-0-4-3-3-0	1-3-3-3-4-1-3-3-3-3-3-3
13	5	3-3-3-3-3-3-4-4-5-3-4-3	3-3-5-3-3-4-1-4-4-3-4-3	3-3-3-4-5-5-4-5-3-3-5-5	5-3-3-3-5-3-5-5-4-3-5-5	3-3-3-5-3-3-3-3-3-5-5-4	3-3-5-5-4-5-4-3-3-3-3-5	3-3-1-3-3-3-4-3-3-4-5-4	4-3-3-3-3-3-3-4-3-3-3-3	3-4-3-4-3-1-3-3-4-3-3-3	3-4-4-3-3-4-0-3-3-3-0-3	3-5-5-3-0-5-5-5-4-4-3-5	1-3-4-3-5-5-5-5-3-5-5-3
14	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
14	1	0-0-0-0-0-0-1-1-0-0-0-0	0-0-1-0-0-0-0-0-2-0-4-0	0-1-0-0-0-0-0-1-0-0-0-0	1-0-0-0-2-1-1-0-2-0-0-0	0-0-2-0-1-1-0-0-0-0-1-0	0-0-1-0-0-0-0-2-0-1-0-1	0-0-2-0-0-0-2-4-0-0-0-0	1-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-1-0	0-0-1-0-0-0-0-1-0-0-0-1	0-0-0-0-0-2-0-0-0-0-0-0	0-0-3-0-0-0-0-1-3-0-3-0
14	2	3-3-1-4-0-2-3-3-2-4-3-4	3-4-2-4-3-2-2-3-1-0-2-2	3-4-0-3-3-2-1-2-3-3-2-1	2-3-3-3-3-1-2-3-3-3-2-3	3-3-1-2-3-3-2-4-3-3-2-3	2-3-3-3-3-2-2-1-0-2-3-3	3-3-3-3-3-3-1-3-3-3-0-0	3-0-3-0-4-4-0-3-3-0-3-3	0-0-3-4-4-0-0-3-3-0-0-3	3-0-0-0-3-3-0-3-0-0-0-3	3-3-0-0-4-1-0-0-0-3-0-0	2-0-2-0-0-4-3-0-2-0-0-3
14	3	2-4-4-0-4-0-4-4-2-0-4-3	2-2-3-2-4-4-0-4-4-3-4-4	4-2-4-2-2-2-4-3-2-2-3-4	3-2-2-2-2-1-3-2-2-2-3-2	2-2-3-3-2-2-2-3-2-3-3-2	3-3-2-2-2-3-3-3-3-4-2-2	2-2-2-3-2-2-3-2-2-2-4-3	3-3-2-3-0-0-2-4-2-0-2-2	4-3-2-4-0-4-4-2-2-0-1-2	2-4-3-3-2-2-1-2-2-4-0-2	4-2-3-0-2-2-0-0-0-2-0-0	2-0-1-0-3-3-2-1-3-0-1-2
14	4	4-3-3-2-3-4-3-3-3-2-3-2	3-2-4-2-3-4-0-3-3-3-3-3	3-4-4-3-4-4-3-4-3-2-4-4	4-2-4-4-4-4-4-4-3-4-4-4	0-4-3-4-2-3-4-2-4-4-4-3	3-4-4-4-3-4-3-4-0-4-2-4	0-2-0-2-2-4-3-4-2-3-4-3	3-0-2-0-2-2-0-3-2-0-2-0	4-4-0-3-2-3-3-2-2-0-4-3	4-3-3-4-0-3-0-4-0-3-0-2	3-4-4-0-2-0-4-4-0-3-4-0	0-4-1-4-4-4-4-4-1-0-4-3
15	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
15	1	0-2-2-0-0-2-1-1-1-0-1-0	1-2-1-2-2-2-0-0-2-2-1-0	2-1-2-0-2-2-1-2-0-2-1-2	1-2-2-1-1-0-1-2-1-2-2-2	0-0-2-1-1-2-1-0-2-2-2-2	1-1-1-0-1-1-2-2-0-0-0-1	0-0-0-0-0-0-1-0-1-2-2-1	0-0-0-0-0-2-0-0-1-2-0-0	0-0-2-0-0-0-0-0-0-0-0-2	0-0-0-0-2-0-0-0-0-0-0-0	0-2-0-2-1-2-0-0-0-0-0-0	2-0-0-0-0-0-0-0-2-3-1-0
15	2	3-1-1-3-1-1-2-2-2-1-2-3	1-2-2-1-1-1-2-1-1-1-2-2	3-2-1-0-1-2-2-2-1-1-1-1	2-2-1-2-2-2-2-1-2-1-1-1	1-3-1-2-2-1-1-0-1-1-1-1	2-2-3-3-2-2-1-1-0-2-1-3	0-3-3-4-3-3-2-2-3-2-1-2	0-0-0-0-4-1-0-2-3-1-3-3	0-1-1-2-3-1-0-3-3-2-3-1	0-1-0-1-1-0-0-3-0-0-0-3	3-1-0-1-0-1-0-0-2-0-3-0	2-0-0-1-2-2-3-2-1-1-1-2
15	3	4-4-4-4-4-4-4-3-3-4-4-4	4-4-3-4-4-4-2-4-4-4-4-4	4-4-4-4-4-3-4-4-4-4-3-4	3-4-3-3-3-4-3-3-3-3-3-3	4-2-3-3-4-3-3-4-4-3-3-4	3-3-2-3-3-3-3-3-3-3-4-2	3-2-2-3-4-2-4-4-4-3-4-4	3-3-4-3-4-4-4-3-2-4-2-3	4-4-3-4-4-4-4-2-4-4-2-4	3-3-4-4-0-4-0-2-4-4-0-4	4-4-0-1-0-0-4-4-4-4-4-0	3-4-4-4-3-4-2-0-4-1-1-2
15	4	4-3-3-3-3-3-3-3-3-3-3-3	3-3-4-3-3-3-0-3-3-3-3-3	3-3-3-3-3-4-3-3-3-3-4-3	4-3-3-3-4-3-4-4-3-3-4-3	3-3-3-4-3-3-3-3-3-4-4-3	3-4-4-4-3-4-3-3-0-3-3-4	3-3-3-3-3-3-3-4-3-3-3-3	3-3-3-0-2-3-3-2-2-3-3-0	3-3-3-3-3-3-3-0-3-3-2-3	3-3-3-3-0-3-0-3-3-3-0-3	3-3-4-3-0-4-4-3-3-3-3-0	3-3-3-4-4-3-4-4-3-3-4-3
16	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
16	1	2-1-3-2-1-1-1-1-1-1-1-2	2-1-1-1-1-1-1-2-1-2-1-2	1-1-3-2-1-1-1-1-1-2-1-1	1-1-1-1-1-0-1-1-1-2-1-2	2-2-1-1-1-1-1-1-1-1-1-1	1-1-1-2-1-1-1-2-1-1-1-1	0-1-0-0-1-0-1-1-1-1-4-1	1-0-4-2-4-0-0-1-0-4-0-0	0-2-2-1-1-4-4-0-0-1-0-1	1-1-0-0-0-0-0-0-4-0-1-0	0-1-1-0-0-0-2-0-2-0-0-0	1-2-1-1-1-4-4-1-1-2-1-1
16	2	1-1-1-1-1-1-3-2-2-1-2-1	1-1-2-4-3-2-1-1-3-3-2-1	3-3-1-3-3-3-3-3-3-3-2-3	2-2-1-3-3-3-2-3-3-2-1-3	3-3-2-2-1-3-2-3-3-3-2-3	2-3-3-3-3-2-2-1-0-3-3-3	3-3-3-4-3-3-2-3-3-3-1-4	3-0-1-1-4-4-3-2-3-1-4-3	4-1-1-4-2-0-0-3-3-3-3-0	4-1-0-4-0-3-3-3-0-0-0-3	3-3-1-0-3-3-1-0-1-0-3-0	4-1-1-1-1-1-3-2-2-1-3-3
16	3	1-1-1-1-1-1-4-4-4-1-4-1	1-1-2-2-2-4-1-4-4-2-2-1	2-2-1-2-2-2-4-2-2-2-2-2	3-2-1-2-2-4-1-2-2-3-4-2	2-2-3-3-2-2-2-3-2-2-3-4	3-2-2-2-2-3-3-3-3-2-2-2	3-2-2-2-2-2-3-2-2-2-1-3	3-3-0-3-2-1-2-4-2-0-2-2	0-1-3-4-2-1-0-2-4-2-2-4	3-4-4-2-0-2-2-2-0-0-0-3	4-2-4-2-2-2-2-0-3-2-3-0	0-1-4-1-3-3-2-2-2-1-2-2
16	4	4-3-2-1-1-4-3-3-3-1-3-2	1-1-4-2-3-4-1-3-3-1-2-1	2-2-1-2-4-4-3-4-0-2-4-4	4-2-4-2-4-3-4-4-4-3-4-4	1-4-1-4-4-2-1-3-4-4-4-3	2-4-4-4-3-4-3-2-0-3-2-4	0-2-1-2-3-2-3-4-2-3-1-2	3-3-1-0-2-1-2-3-2-1-2-2	2-1-2-3-2-1-1-0-3-0-2-4	3-3-3-2-2-4-2-2-4-0-0-2	3-4-4-2-2-2-4-4-3-0-4-4	1-1-3-4-4-1-1-4-2-4-4-4
17	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
17	1	0-0-0-0-0-0-0-1-2-0-2-0	0-0-2-0-0-0-0-0-0-0-0-0	0-1-0-0-0-2-0-0-0-0-0-0	1-0-0-0-2-0-1-0-2-0-0-0	0-0-0-2-0-0-0-0-0-0-1-0	0-0-0-0-0-0-0-2-0-0-0-2	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-2-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-4-0-0-0-0	0-0-0-0-0-0-0-1-0-0-0-0
17	2	0-0-3-4-4-0-3-2-2-0-3-4	3-4-1-3-3-2-2-0-3-0-2-3	4-3-4-3-3-1-3-3-3-3-3-3	2-3-3-3-3-3-3-3-3-2-3-3	4-3-2-2-3-3-2-4-3-3-3-3	4-2-2-3-3-2-0-1-0-4-0-3	0-0-2-4-2-3-2-3-3-3-0-2	3-0-2-0-0-1-1-0-3-0-3-0	2-0-0-0-2-0-0-3-3-0-2-0	4-4-0-2-0-3-0-3-0-0-2-3	3-2-0-0-3-2-3-4-3-3-4-0	3-0-3-0-0-0-3-2-2-0-2-3
17	3	2-3-4-0-2-0-4-4-4-0-4-3	2-2-4-2-4-4-0-4-4-2-4-4	2-3-2-4-2-2-4-2-2-2-2-2	3-2-2-2-2-3-2-2-2-3-2-2	3-2-3-3-2-2-2-3-2-3-2-2	3-3-4-3-2-3-3-3-3-4-3-2	3-0-3-3-3-2-4-2-2-3-4-3	4-3-3-3-4-3-3-4-2-0-2-3	3-3-3-4-0-0-3-2-2-0-2-4	3-0-4-3-0-4-0-2-2-0-2-2	4-2-3-3-2-0-2-4-2-2-0-0	2-4-2-0-3-3-2-0-3-4-3-2
17	4	4-3-4-2-2-4-3-3-4-2-3-2	3-2-4-2-3-3-0-3-3-3-3-3	2-4-2-3-4-4-3-4-2-2-4-4	4-2-4-2-4-4-4-4-3-4-4-4	2-4-3-4-2-3-4-2-4-4-4-3	3-4-4-4-3-4-3-4-0-3-3-4	3-2-0-2-3-4-3-4-0-3-4-3	3-4-0-4-3-0-3-3-0-0-0-0	4-3-0-3-3-0-3-0-3-0-2-3	2-2-3-4-0-3-0-2-4-0-0-2	3-4-4-0-0-0-4-4-4-3-4-0	2-4-3-0-4-4-4-4-3-4-4-3
18	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
